,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
92,spotify:track:76PToF9tQlklwSUbt4RNbk,Meeting of Two Oceans,0.851,0.44,0.047,0.0405,0.103,-19.245,0.203,69.077,0.0421
93,spotify:track:6pmxIuUYfVgO9zojbQIj3O,Goddess Evocation,0.988,0.696,0.0448,0.0383,0.0788,-18.291,0.398,115.421,0.046
94,spotify:track:29uf7mEX39sTXsaheuU9d7,Relaxing on the Mountain,0.984,0.816,0.0322,0.0359,0.232,-18.147,0.267,88.531,0.0609
95,spotify:track:40ean5IrRrOCQVF5PhNFzP,Ha-Tha (Sun Meets Moon),0.761,0.0363,0.557,0.0316,0.183,-10.989,0.727,109.977,0.198
96,spotify:track:3lqkdtSptgT5JbREVV4U7H,On Sacred Ground,0.388,0.0739,0.309,0.0304,0.0898,-10.124,0.346,84.407,0.159
97,spotify:track:3WBpzyAIzq7csOpXL8o3FZ,Sight Meditation,0.8,0.847,0.255,0.0348,0.0818,-15.758,0.704,94.98,0.172
98,spotify:track:6Tg9SemOs3ojBIEtU6VNh4,Conciousness Meditation,0.961,0.367,0.187,0.0303,0.133,-17.233,0.456,148.197,0.148
99,spotify:track:2jjNC5JefpYpqed9pYFNKs,Heart Meditation,0.925,0.73,0.183,0.0308,0.0935,-13.614,0.41,160.08,0.131
100,spotify:track:5TeU9ZMgLcoSl1evO7TV5b,The Union of Sun and Moon,0.992,0.819,0.0172,0.043,0.265,-18.997,0.246,67.32,0.0868
101,spotify:track:7cWnks0lsRtpAi87COOiXK,O Re Piya,0.779,0.000565,0.532,0.0328,0.124,-8.837,0.586,99.994,0.494
102,spotify:track:0u8wprNfOdcWpUlWnfMcpP,Bol Na Halke Halke,0.279,3.46e-06,0.573,0.0491,0.0617,-6.69,0.637,90.017,0.704
103,spotify:track:7N30pzJGFwnYU8iuzxWS7l,Ajj Din Chadheya,0.551,6.7e-06,0.688,0.0722,0.121,-4.553,0.585,85.871,0.814
104,spotify:track:2iZeKe5avjtKVmjfSFkpxd,Tum Jo Aaye,0.399,1e-06,0.841,0.0948,0.205,-4.449,0.574,83.706,0.927
105,spotify:track:1jkNF7kVO0tzNiGXzpC6fQ,Valentine's Mashup 2021,0.196,0.0,0.719,0.0437,0.134,-6.859,0.647,104.003,0.4
106,spotify:track:4f5kLqyOJ5ZPnalEVMQrB2,"Tere Bin (From ""Simmba"")",0.268,4.51e-06,0.716,0.0384,0.603,-3.936,0.649,86.949,0.639
107,spotify:track:1wsN3cdC9HOWdJWGypTj55,Teri Ore,0.172,0.0,0.797,0.0972,0.267,-4.629,0.484,83.542,0.699
108,spotify:track:395gJWcJQK0C3GJfHAn7f6,Sajdaa,0.725,0.00272,0.737,0.0762,0.0655,-7.274,0.469,79.545,0.572
109,spotify:track:2RNCGsAi3ERAf2k2Mhhdyu,"Surili Akhiyon Wale (From ""Veer"")",0.402,0.0,0.574,0.0312,0.0965,-5.788,0.514,75.89,0.4
110,spotify:track:3kuxr8U3QynLzyW82p5hYR,Aas Paas Khuda,0.335,1.8e-06,0.706,0.0336,0.137,-5.709,0.556,80.008,0.726
112,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,0.243,0.0,0.447,0.0311,0.255,-12.014,0.527,94.051,0.536
113,spotify:track:6OBnmsS9w6mdYmEgxwc2BG,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",0.907,0.612,0.272,0.0295,0.0848,-13.642,0.354,90.566,0.263
114,spotify:track:369oZK7hzwq2wHzRWzs9xh,Teri Fariyad,0.935,0.00482,0.423,0.0279,0.352,-8.344,0.503,85.061,0.371
115,spotify:track:2AeMA6k7ocfbYDZqq8NdV7,Koi Fariyaad,0.073,0.00069,0.439,0.0555,0.0828,-15.154,0.403,84.822,0.325
116,spotify:track:4SVLJYv9gJQgFhtJdW3TEX,Tum Itna Jo Muskura Rahe Ho,0.352,1.46e-05,0.331,0.0322,0.178,-12.652,0.374,171.381,0.594
117,spotify:track:6qtSFL6qFbw7EmaRIsS0IR,Woh Kaghaz Ki Kashti,0.909,0.00473,0.48,0.0399,0.0944,-12.556,0.705,108.178,0.8
118,spotify:track:4QpOqCNx9L7Vy2ThfXOYDf,Tere Aane Ki Jab Khabar Mehke,0.597,0.000192,0.242,0.0333,0.105,-18.064,0.681,90.635,0.549
119,spotify:track:5PWQsLrymwQbCVYOO70Vfd,Jhuki Jhuki Si Nazar,0.828,7.41e-05,0.262,0.0272,0.0812,-14.212,0.582,95.191,0.489
120,spotify:track:6PXISn2oRpmYoFwRT801il,Chithi Na Koi Sandesh,0.0977,0.000643,0.458,0.0382,0.189,-11.461,0.807,113.092,0.59
122,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,0.243,0.0,0.447,0.0311,0.255,-12.014,0.527,94.051,0.536
123,spotify:track:6OBnmsS9w6mdYmEgxwc2BG,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",0.907,0.612,0.272,0.0295,0.0848,-13.642,0.354,90.566,0.263
124,spotify:track:369oZK7hzwq2wHzRWzs9xh,Teri Fariyad,0.935,0.00482,0.423,0.0279,0.352,-8.344,0.503,85.061,0.371
125,spotify:track:2AeMA6k7ocfbYDZqq8NdV7,Koi Fariyaad,0.073,0.00069,0.439,0.0555,0.0828,-15.154,0.403,84.822,0.325
