Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Ashanti,Blues,spotify:artist:5rkVyNGXEgeUqKkB5ccK83,2mKouqwAIdQnMP43zxR89r,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=b82fb22d072d4120850c99225ff01644,What's Luv? (feat. Ja-Rule & Ashanti),0.0219,2.19E-05,0.707,0.0598,0.108,-5.074,0.835,93.955,0.919
Alicia Keys,Blues,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,3L310NpvnPHb4QRy0uXJWP,https://p.scdn.co/mp3-preview/816bf22e58a720260b909cf15df8b3c46971f4b7?cid=b82fb22d072d4120850c99225ff01644,If I Ain't Got You (feat. Usher),0.496,6.87E-06,0.473,0.0963,0.103,-8.848,0.592,118.134,0.158
Twista,Blues,spotify:artist:6vbY3hOaCAhC7VjucswgdS,1boHm9rjmvzxpJASd9dnGK,https://p.scdn.co/mp3-preview/9ccecf7a017fa6a3ee53926ae2b6b931b9b3e775?cid=b82fb22d072d4120850c99225ff01644,Slow Jamz (feat. Kanye West & Jamie Foxx),0.373,0,0.764,0.138,0.157,-6.645,0.561,145.158,0.598
H.E.R.,Blues,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,6MO2bfLHKykUgCChFdw91H,https://p.scdn.co/mp3-preview/59c4f1f9243394c7581505f1e4a5b9c40ac9b3b7?cid=b82fb22d072d4120850c99225ff01644,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",0.0145,0.000102,0.513,0.244,0.14,-8.363,0.815,96.982,0.17
Joe,Blues,spotify:artist:3zTOe1BtyTkwNvYZOxXktX,5PG3h38oiQLEJlOuOvIs80,https://p.scdn.co/mp3-preview/350fab3ebbb63336be50bb7527d8887f6e2a5a6b?cid=b82fb22d072d4120850c99225ff01644,Still Not a Player (feat. Joe),0.184,0.000742,0.614,0.289,0.0867,-6.529,0.902,94.069,0.862
Tyrese,Blues,spotify:artist:08p7B5OtcUuVblvkQIlBhJ,5gnEqyTtO9ssGiBUWYnKu6,https://p.scdn.co/mp3-preview/0f21b01725444f75431ba518974f05610be1cf33?cid=b82fb22d072d4120850c99225ff01644,How You Gonna Act Like That,0.107,0,0.405,0.0587,0.0602,-7.927,0.731,112.918,0.54
Keith Sweat,Blues,spotify:artist:2r09Inibex3C4ZNTUVSG3m,7vVIj8Tm1wCawjvwVZdeLD,https://p.scdn.co/mp3-preview/3f63b30d969ad03a7713a336852390bf4aed4de5?cid=b82fb22d072d4120850c99225ff01644,Make It Last Forever (with Jacci McGhee),0.0325,0,0.511,0.0825,0.641,-12.054,0.494,168.255,0.506
Destiny's Child,Blues,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,1Oi2zpmL81Q0yScF1zxaC0,https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba?cid=b82fb22d072d4120850c99225ff01644,"Bills, Bills, Bills",0.139,0,0.576,0.153,0.0764,-5.15,0.845,127.641,0.461
H.E.R.,Blues,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,6UF1vUIoLleFrhcxg2L26V,https://p.scdn.co/mp3-preview/ac620d3facd5f1785e9466c49f2683b3a1dce423?cid=b82fb22d072d4120850c99225ff01644,Make the Most (feat. H.E.R.),0.361,0,0.693,0.368,0.0806,-6.917,0.566,78.743,0.838
112,Blues,spotify:artist:7urq0VfqxEYEEiZUkebXT4,2SLZ2rX5773RS16mcqBxG7,https://p.scdn.co/mp3-preview/24735540544ed7b6a00866a330177b444cbb43bb?cid=b82fb22d072d4120850c99225ff01644,Peaches & Cream,0.00277,0,0.52,0.334,0.0532,-6.255,0.677,203.862,0.768
Trey Songz,Blues,spotify:artist:2iojnBLj0qIMiKPvVhLnsH,43hHjvaO9brl5t7ywedeyx,https://p.scdn.co/mp3-preview/29fd70e5304bd40da3ff06e348b89bb26b33d2e5?cid=b82fb22d072d4120850c99225ff01644,Dive In,0.0279,0,0.648,0.089,0.962,-6.954,0.587,119.888,0.37
Aaliyah,Blues,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,4lRrk574qIHpoEEKC1zuam,https://p.scdn.co/mp3-preview/9b5dd396c4bb53e03c7a153ab47c48195fc2344b?cid=b82fb22d072d4120850c99225ff01644,At Your Best (You Are Love),0.761,0.0138,0.441,0.0308,0.0685,-10.637,0.626,78.094,0.563
